month,avg_price_2024,avg_price_2025,avg_price_2026,avg_spread_2024,avg_spread_2025,avg_spread_2026,neg_hours_2024,neg_hours_2025,neg_hours_2026,avg_price_res_neg_2024,avg_price_res_neg_2025,avg_price_res_neg_2026,avg_price_res_high_2024,avg_price_res_high_2025,avg_price_res_high_2026
Jan,76.63,114.32,38.54,47.18,83.29,62.81,16.00,14.00,3.00,10.30,0.46,2.74,133.40,309.64,
Feb,61.36,128.51,,41.54,71.58,,4.00,0.00,,7.29,81.52,,,229.60,
Mar,64.66,94.69,,55.65,113.66,,12.00,30.00,,3.03,-2.21,,,,
Apr,62.39,77.93,,87.22,125.88,,50.00,75.00,,-22.69,-18.46,,,,
May,67.28,67.32,,96.22,135.32,,78.00,129.00,,-23.48,-15.59,,,,
Jun,72.89,64.03,,109.26,137.86,,64.00,141.00,,-15.60,-9.29,,,,
Jul,67.71,87.79,,108.89,91.61,,81.00,12.00,,-16.21,6.92,,,,
Aug,82.03,76.94,,121.12,112.48,,68.00,64.00,,-15.84,2.71,,,,
Sep,78.06,83.55,,113.44,126.44,,40.00,60.00,,-0.95,-3.02,,,,
Oct,86.29,85.58,,89.62,98.25,,25.00,51.00,,-4.11,10.33,,,,
Nov,113.96,102.69,,98.94,75.03,,11.00,0.00,,1.65,28.15,,499.50,254.08,
Dec,108.18,94.17,,98.97,54.97,,8.00,0.00,,-0.19,12.71,,480.92,183.21,
